State,Date,OffAge,OffAge,OffAge,OffAge
,,count,mean,min,max
Alabama,1993-03-01,14,28.142857142857142,16.0,63.0
Alabama,1993-04-01,26,32.15384615384615,17.0,63.0
Alabama,1993-05-01,23,33.69565217391305,16.0,57.0
Alabama,1993-06-01,19,34.21052631578947,16.0,93.0
Alabama,1993-07-01,27,32.111111111111114,16.0,91.0
Alabama,1993-08-01,23,29.73913043478261,15.0,75.0
Alabama,1993-09-01,22,28.545454545454547,14.0,67.0
Alabama,1993-10-01,25,32.56,18.0,64.0
Alabama,1993-11-01,19,35.578947368421055,15.0,74.0
Alabama,1993-12-01,33,34.75757575757576,17.0,69.0
Alabama,1994-01-01,26,33.19230769230769,15.0,92.0
Alabama,1994-02-01,20,30.1,18.0,63.0
Alabama,1994-03-01,24,30.083333333333332,19.0,52.0
Alabama,1994-04-01,21,28.666666666666668,15.0,52.0
Alabama,1994-05-01,20,29.9,15.0,49.0
Alabama,1994-06-01,32,28.03125,15.0,52.0
Alabama,1994-07-01,27,25.074074074074073,16.0,53.0
Alabama,1994-08-01,23,32.91304347826087,16.0,68.0
Alabama,1994-09-01,25,29.12,16.0,73.0
Alabama,1994-10-01,29,31.03448275862069,16.0,62.0
Alabama,1994-11-01,22,29.772727272727273,15.0,63.0
Alabama,1994-12-01,24,34.041666666666664,16.0,66.0
Alabama,1995-01-01,18,30.38888888888889,18.0,74.0
Alabama,1995-02-01,13,31.46153846153846,19.0,50.0
Alabama,1995-03-01,19,29.736842105263158,16.0,47.0
Alabama,1995-04-01,12,32.083333333333336,16.0,71.0
Alabama,1995-05-01,16,28.875,14.0,64.0
Alabama,1995-06-01,26,29.692307692307693,16.0,60.0
Alabama,1995-07-01,27,33.111111111111114,18.0,62.0
Alabama,1995-08-01,30,31.1,17.0,66.0
Alabama,1995-09-01,18,29.61111111111111,15.0,59.0
Alabama,1995-10-01,25,34.12,16.0,61.0
Alabama,1995-11-01,21,24.571428571428573,12.0,43.0
Alabama,1995-12-01,27,29.074074074074073,18.0,79.0
Alabama,1996-01-01,20,29.15,17.0,75.0
Alabama,1996-02-01,18,30.61111111111111,18.0,63.0
Alabama,1996-03-01,17,32.05882352941177,17.0,47.0
Alabama,1996-04-01,19,29.210526315789473,16.0,73.0
Alabama,1996-05-01,24,25.875,12.0,73.0
Alabama,1996-06-01,25,31.76,14.0,71.0
Alabama,1996-07-01,27,31.703703703703702,19.0,55.0
Alabama,1996-08-01,22,32.0,16.0,52.0
Alabama,1996-09-01,21,29.333333333333332,20.0,46.0
Alabama,1996-10-01,15,26.333333333333332,16.0,50.0
Alabama,1996-11-01,15,32.8,18.0,68.0
Alabama,1996-12-01,21,30.19047619047619,16.0,78.0
Alabama,1997-01-01,27,27.25925925925926,17.0,60.0
Alabama,1997-02-01,13,27.846153846153847,16.0,51.0
Alabama,1997-03-01,19,31.42105263157895,19.0,68.0
Alabama,1997-04-01,23,32.0,17.0,59.0
Alabama,1997-05-01,20,34.75,16.0,68.0
Alabama,1997-06-01,24,31.75,16.0,58.0
Alabama,1997-07-01,12,31.083333333333332,18.0,45.0
Alabama,1997-08-01,17,31.470588235294116,17.0,71.0
Alabama,1997-09-01,18,26.944444444444443,17.0,45.0
Alabama,1997-10-01,26,29.692307692307693,16.0,75.0
Alabama,1997-11-01,22,34.04545454545455,16.0,71.0
Alabama,1997-12-01,23,32.95652173913044,15.0,60.0
Alabama,1998-01-01,18,39.111111111111114,17.0,78.0
Alabama,1998-02-01,14,34.142857142857146,18.0,65.0
Alabama,1998-03-01,15,37.266666666666666,17.0,78.0
Alabama,1998-04-01,23,28.47826086956522,16.0,51.0
Alabama,1998-05-01,16,26.625,17.0,46.0
Alabama,1998-06-01,23,29.608695652173914,10.0,60.0
Alabama,1998-07-01,19,36.10526315789474,15.0,78.0
Alabama,1998-08-01,11,29.272727272727273,17.0,45.0
Alabama,1998-09-01,20,32.1,18.0,63.0
Alabama,1998-10-01,15,33.8,17.0,69.0
Alabama,1998-11-01,15,30.666666666666668,19.0,54.0
Alabama,1998-12-01,13,26.23076923076923,16.0,42.0
Alabama,1999-01-01,0,,,
Alabama,1999-02-01,1,79.0,79.0,79.0
Alabama,1999-03-01,1,22.0,22.0,22.0
Alabama,1999-06-01,2,39.0,39.0,39.0
Alabama,1999-07-01,4,41.25,27.0,68.0
Alabama,1999-08-01,1,24.0,24.0,24.0
Alabama,1999-11-01,1,47.0,47.0,47.0
Alabama,1999-12-01,0,,,
Alabama,2000-01-01,1,19.0,19.0,19.0
Alabama,2000-02-01,1,18.0,18.0,18.0
Alabama,2000-03-01,0,,,
Alabama,2000-04-01,1,53.0,53.0,53.0
Alabama,2000-05-01,1,53.0,53.0,53.0
Alabama,2000-09-01,1,32.0,32.0,32.0
Alabama,2000-10-01,1,18.0,18.0,18.0
Alabama,2000-11-01,1,14.0,14.0,14.0
Alabama,2000-12-01,158,32.139240506329116,13.0,78.0
Alabama,2001-01-01,21,31.238095238095237,15.0,54.0
Alabama,2001-02-01,21,32.04761904761905,15.0,72.0
Alabama,2001-03-01,13,27.76923076923077,16.0,48.0
Alabama,2001-04-01,15,36.4,17.0,71.0
Alabama,2001-05-01,19,31.210526315789473,16.0,76.0
Alabama,2001-06-01,21,26.714285714285715,18.0,51.0
Alabama,2001-07-01,13,30.0,14.0,79.0
Alabama,2001-08-01,22,31.40909090909091,15.0,63.0
Alabama,2001-09-01,22,30.90909090909091,18.0,63.0
Alabama,2001-10-01,15,26.333333333333332,16.0,54.0
Alabama,2001-11-01,7,36.42857142857143,17.0,63.0
Alabama,2001-12-01,21,31.095238095238095,13.0,49.0
Alabama,2002-01-01,15,27.266666666666666,19.0,56.0
Alabama,2002-02-01,20,33.45,17.0,57.0
Alabama,2002-03-01,13,29.923076923076923,20.0,60.0
Alabama,2002-04-01,12,29.416666666666668,17.0,42.0
Alabama,2002-05-01,12,32.416666666666664,18.0,86.0
Alabama,2002-06-01,12,36.5,17.0,86.0
Alabama,2002-07-01,14,34.57142857142857,20.0,72.0
Alabama,2002-08-01,23,34.73913043478261,16.0,73.0
Alabama,2002-09-01,26,30.615384615384617,17.0,70.0
Alabama,2002-10-01,16,28.75,16.0,48.0
Alabama,2002-11-01,12,25.916666666666668,17.0,43.0
Alabama,2002-12-01,13,35.07692307692308,15.0,74.0
Alabama,2003-01-01,8,27.375,18.0,48.0
Alabama,2003-02-01,24,35.125,18.0,79.0
Alabama,2003-03-01,15,31.133333333333333,17.0,48.0
Alabama,2003-04-01,9,31.88888888888889,20.0,59.0
Alabama,2003-05-01,11,27.727272727272727,16.0,57.0
Alabama,2003-06-01,17,36.88235294117647,15.0,55.0
Alabama,2003-07-01,17,32.411764705882355,19.0,50.0
Alabama,2003-08-01,21,31.476190476190474,18.0,52.0
Alabama,2003-09-01,11,29.363636363636363,19.0,45.0
Alabama,2003-10-01,10,27.9,17.0,46.0
Alabama,2003-11-01,15,31.666666666666668,16.0,58.0
Alabama,2003-12-01,8,34.125,12.0,74.0
Alabama,2004-01-01,18,29.166666666666668,17.0,61.0
Alabama,2004-02-01,11,30.90909090909091,18.0,49.0
Alabama,2004-03-01,13,33.92307692307692,18.0,62.0
Alabama,2004-04-01,12,32.583333333333336,18.0,55.0
Alabama,2004-05-01,14,26.428571428571427,17.0,48.0
Alabama,2004-06-01,19,38.0,19.0,78.0
Alabama,2004-07-01,16,31.0,19.0,47.0
Alabama,2004-08-01,17,32.35294117647059,15.0,62.0
Alabama,2004-09-01,16,31.0,16.0,59.0
Alabama,2004-10-01,10,31.1,18.0,54.0
Alabama,2004-11-01,11,38.36363636363637,20.0,79.0
Alabama,2004-12-01,15,34.333333333333336,21.0,51.0
Alabama,2005-01-01,24,30.625,17.0,65.0
Alabama,2005-02-01,23,32.08695652173913,17.0,80.0
Alabama,2005-03-01,15,33.8,18.0,74.0
Alabama,2005-04-01,17,30.058823529411764,18.0,51.0
Alabama,2005-05-01,17,38.05882352941177,18.0,75.0
Alabama,2005-06-01,10,28.8,16.0,53.0
Alabama,2005-07-01,12,35.333333333333336,15.0,68.0
Alabama,2005-08-01,32,29.21875,17.0,70.0
Alabama,2005-09-01,14,31.071428571428573,16.0,54.0
Alabama,2005-10-01,12,36.5,19.0,67.0
Alabama,2005-11-01,22,26.318181818181817,16.0,39.0
Alabama,2005-12-01,26,30.615384615384617,17.0,49.0
Alabama,2006-01-01,25,32.44,16.0,71.0
Alabama,2006-02-01,16,33.625,18.0,53.0
Alabama,2006-03-01,18,27.555555555555557,16.0,57.0
Alabama,2006-04-01,23,28.304347826086957,17.0,50.0
Alabama,2006-05-01,16,27.8125,13.0,50.0
Alabama,2006-06-01,19,27.57894736842105,15.0,62.0
Alabama,2006-07-01,22,31.272727272727273,15.0,59.0
Alabama,2006-08-01,26,34.30769230769231,17.0,61.0
Alabama,2006-09-01,16,28.8125,19.0,37.0
Alabama,2006-10-01,19,29.31578947368421,17.0,68.0
Alabama,2006-11-01,26,33.73076923076923,18.0,76.0
Alabama,2006-12-01,20,23.95,17.0,41.0
Alabama,2007-01-01,17,31.176470588235293,20.0,49.0
Alabama,2007-02-01,18,27.77777777777778,15.0,65.0
Alabama,2007-03-01,23,29.956521739130434,15.0,57.0
Alabama,2007-04-01,26,31.615384615384617,14.0,59.0
Alabama,2007-05-01,24,27.541666666666668,16.0,60.0
Alabama,2007-06-01,25,34.64,17.0,62.0
Alabama,2007-07-01,43,29.88372093023256,18.0,55.0
Alabama,2007-08-01,19,33.1578947368421,16.0,66.0
Alabama,2007-09-01,15,32.733333333333334,16.0,59.0
Alabama,2007-10-01,16,29.0625,17.0,55.0
Alabama,2007-11-01,22,29.363636363636363,16.0,55.0
Alabama,2007-12-01,19,31.68421052631579,17.0,53.0
Alabama,2008-01-01,27,35.22222222222222,14.0,76.0
Alabama,2008-02-01,12,34.25,19.0,68.0
Alabama,2008-03-01,25,29.88,15.0,66.0
Alabama,2008-04-01,24,31.875,14.0,59.0
Alabama,2008-05-01,14,33.285714285714285,15.0,65.0
Alabama,2008-06-01,17,38.1764705882353,20.0,76.0
Alabama,2008-07-01,28,27.785714285714285,19.0,43.0
Alabama,2008-08-01,22,28.363636363636363,18.0,47.0
Alabama,2008-09-01,21,26.61904761904762,15.0,53.0
Alabama,2008-10-01,14,35.92857142857143,16.0,67.0
Alabama,2008-11-01,21,24.761904761904763,15.0,46.0
Alabama,2008-12-01,20,27.35,15.0,59.0
Alabama,2009-01-01,17,33.294117647058826,18.0,76.0
Alabama,2009-02-01,13,29.0,19.0,48.0
Alabama,2009-03-01,23,29.347826086956523,16.0,53.0
Alabama,2009-04-01,27,26.85185185185185,16.0,51.0
Alabama,2009-05-01,25,33.12,18.0,80.0
Alabama,2009-06-01,23,29.47826086956522,16.0,78.0
Alabama,2009-07-01,19,33.473684210526315,22.0,54.0
Alabama,2009-08-01,15,32.266666666666666,18.0,53.0
Alabama,2009-09-01,21,33.04761904761905,16.0,87.0
Alabama,2009-10-01,15,36.266666666666666,16.0,61.0
Alabama,2009-11-01,8,29.375,16.0,49.0
Alabama,2009-12-01,13,37.23076923076923,17.0,64.0
Alabama,2010-01-01,11,32.18181818181818,20.0,59.0
Alabama,2010-02-01,11,32.63636363636363,14.0,54.0
Alabama,2010-03-01,13,28.307692307692307,19.0,67.0
Alabama,2010-04-01,10,32.6,18.0,57.0
Alabama,2010-05-01,9,47.888888888888886,20.0,84.0
Alabama,2010-06-01,21,33.0,16.0,61.0
Alabama,2010-07-01,15,39.86666666666667,17.0,69.0
Alabama,2010-08-01,10,43.8,28.0,70.0
Alabama,2010-09-01,4,39.5,22.0,50.0
Alabama,2010-10-01,16,33.875,20.0,62.0
Alabama,2010-11-01,7,44.285714285714285,35.0,53.0
Alabama,2010-12-01,9,31.333333333333332,26.0,44.0
Alabama,2011-01-01,9,45.44444444444444,28.0,68.0
Alabama,2011-02-01,6,31.5,20.0,39.0
Alabama,2011-03-01,7,32.142857142857146,11.0,58.0
Alabama,2011-04-01,14,26.285714285714285,18.0,58.0
Alabama,2011-05-01,10,34.7,18.0,58.0
Alabama,2011-06-01,11,48.18181818181818,28.0,71.0
Alabama,2011-07-01,19,27.57894736842105,18.0,37.0
Alabama,2011-08-01,11,25.181818181818183,18.0,34.0
Alabama,2011-09-01,19,32.0,18.0,61.0
Alabama,2011-10-01,23,35.91304347826087,18.0,64.0
Alabama,2011-11-01,17,21.0,16.0,40.0
Alabama,2011-12-01,8,45.375,19.0,76.0
Alabama,2012-01-01,13,34.92307692307692,23.0,53.0
Alabama,2012-02-01,8,25.625,20.0,41.0
Alabama,2012-03-01,16,33.8125,17.0,58.0
Alabama,2012-04-01,7,26.285714285714285,17.0,48.0
Alabama,2012-05-01,10,37.4,14.0,71.0
Alabama,2012-06-01,17,30.529411764705884,21.0,64.0
Alabama,2012-07-01,7,36.285714285714285,19.0,89.0
Alabama,2012-08-01,9,29.11111111111111,20.0,55.0
Alabama,2012-09-01,21,29.523809523809526,15.0,59.0
Alabama,2012-10-01,13,34.61538461538461,17.0,60.0
Alabama,2012-11-01,6,38.833333333333336,20.0,53.0
Alabama,2012-12-01,19,32.10526315789474,18.0,54.0
Alabama,2013-01-01,13,31.076923076923077,18.0,53.0
Alabama,2013-02-01,11,32.81818181818182,19.0,52.0
Alabama,2013-03-01,18,30.166666666666668,19.0,55.0
Alabama,2013-04-01,11,36.63636363636363,14.0,63.0
Alabama,2013-05-01,9,30.88888888888889,22.0,50.0
Alabama,2013-06-01,20,31.65,18.0,55.0
Alabama,2013-07-01,15,30.333333333333332,21.0,56.0
Alabama,2013-08-01,19,32.526315789473685,16.0,60.0
Alabama,2013-09-01,15,40.06666666666667,20.0,68.0
Alabama,2013-10-01,21,29.19047619047619,18.0,50.0
Alabama,2013-11-01,18,42.44444444444444,16.0,82.0
Alabama,2013-12-01,33,30.363636363636363,15.0,57.0
Alabama,2014-01-01,15,32.06666666666667,16.0,52.0
Alabama,2014-02-01,8,32.375,17.0,51.0
Alabama,2014-03-01,21,42.19047619047619,22.0,91.0
Alabama,2014-04-01,15,26.066666666666666,18.0,41.0
Alabama,2014-05-01,11,34.81818181818182,18.0,50.0
Alabama,2014-06-01,12,32.25,16.0,76.0
Alabama,2014-07-01,16,29.5,17.0,68.0
Alabama,2014-08-01,18,28.833333333333332,17.0,45.0
Alabama,2014-09-01,15,28.866666666666667,17.0,46.0
Alabama,2014-10-01,11,35.27272727272727,24.0,59.0
Alabama,2014-11-01,15,36.06666666666667,21.0,81.0
Alabama,2014-12-01,18,34.388888888888886,14.0,75.0
Alabama,2015-01-01,18,37.888888888888886,18.0,68.0
Alabama,2015-02-01,19,33.05263157894737,16.0,77.0
Alabama,2015-03-01,20,33.3,18.0,63.0
Alabama,2015-04-01,16,26.5,16.0,48.0
Alabama,2015-05-01,13,25.615384615384617,16.0,41.0
Alabama,2015-06-01,9,38.77777777777778,24.0,58.0
Alabama,2015-07-01,22,34.86363636363637,17.0,82.0
Alabama,2015-08-01,12,30.333333333333332,20.0,56.0
Alabama,2015-09-01,11,24.90909090909091,18.0,45.0
Alabama,2015-10-01,23,32.391304347826086,10.0,67.0
Alabama,2015-11-01,22,35.04545454545455,18.0,64.0
Alabama,2015-12-01,21,28.285714285714285,16.0,68.0
Alabama,2016-01-01,31,29.93548387096774,16.0,48.0
Alabama,2016-02-01,26,29.26923076923077,17.0,58.0
Alabama,2016-03-01,16,28.0625,18.0,37.0
Alabama,2016-04-01,28,29.25,10.0,51.0
Alabama,2016-05-01,17,28.294117647058822,17.0,50.0
Alabama,2016-06-01,26,33.61538461538461,15.0,58.0
Alabama,2016-07-01,21,28.857142857142858,12.0,63.0
Alabama,2016-08-01,17,34.8235294117647,18.0,66.0
Alabama,2016-09-01,27,32.851851851851855,17.0,99.0
Alabama,2016-10-01,30,29.0,15.0,59.0
Alabama,2016-11-01,13,33.69230769230769,15.0,55.0
Alabama,2016-12-01,13,27.307692307692307,12.0,61.0
Alabama,2017-01-01,21,37.61904761904762,17.0,73.0
Alabama,2017-02-01,28,30.178571428571427,1.0,64.0
Alabama,2017-03-01,24,31.208333333333332,1.0,75.0
Alabama,2017-04-01,19,29.68421052631579,19.0,64.0
Alabama,2017-05-01,25,23.16,1.0,51.0
Alabama,2017-06-01,22,29.818181818181817,1.0,56.0
